source,target,weight
task_success_reward,goal_pos_reward,0.00043869557
task_completion_reward,swing_velocity_reward,0.00043864077
rotation_penalty,handover_reward,0.00043843503
distance_object_reward,orientation_reward,0.00043831434
open_reward,vertical_reward,0.00043827438
velocity_reward,door_angular_movement_reward,0.00043800342
bottle_vel_reward,door_move_reward,0.00043766332
direction_reward,height_reward,0.0004374662
right_distance_reward,grasp_quality,0.00043685923
kettle_tilt_reward,stack_bonus,0.00043665993
door_displacement_reward,orientation_reward,0.00043665973
success_object_another_reward,object_push_reward,0.00043625303
bucket_handle_reward,object_velocity_reward,0.0004358778
vel_object_another_reward,right_press_reward,0.00043573248
task_completion_bonus,right_hand_reward,0.0004356519
hand_force_reward,water_pouring_reward,0.0004354864
velocity_penalty,direction_reward,0.0004354595
vertical_reward,finger_coord_reward,0.00043423095
task_completion_bonus,swing_velocity_reward,0.0004338319
combined_success_reward,finger_grasp_reward,0.00043372123
scissors_open_reward,direction_reward,0.0004336926
door_move_reward,handle_grasp_reward,0.00043367984
vertical_reward,door_angular_movement_reward,0.000433648
fingertip_reward,angvel_reward,0.00043251272
goal_pos_reward,finger_grasp_reward,0.0004323258
door_reward,bottle_vel_reward,0.00043168344
right_hand_pos_reward,cap_up_reward,0.00043125433
progress_reward,finger_grasp_reward,0.00043105544
grasp_quality,door_angular_movement_reward,0.0004305444
stack_bonus,separation_reward,0.0004302706
handle_grasp_reward,finger_grasp_reward,0.00043015022
ang_vel_reward,finger_grasp_reward,0.00042978645
reach_reward,placement_reward,0.0004292179
door_open_vel_reward,rot_reward,0.0004287743
distance_reward,bottle_vel_reward,0.00042867867
goal_pos_reward,direction_reward,0.00042814377
fingertip_another_object_reward,direction_reward,0.00042804578
door_close_reward,swing_velocity_reward,0.00042791336
button_press_right_reward,direction_reward,0.0004279107
height_reward,grasp_quality,0.00042789883
spill_penalty,object_pos_reward,0.00042788227
success_bonus,direction_reward,0.0004278718
right_hand_pos_reward,vertical_reward,0.00042774822
left_hand_pos_reward,direction_reward,0.00042715707
kettle_spout_goal_reward,kettle_spout_goal_reward,0.0004269124
task_success_reward,goal_rot_reward,0.0004267552
spill_penalty,swing_reward,0.00042647833
direction_reward,hand_close_reward,0.0004262624
goal_reward,left_distance_reward,0.00042586366
penalty_object_another,penalty_object_another,0.00042571008
incremental_progress_reward,incremental_progress_reward,0.00042569707
distance_reward,distance_reward,0.00042557667
goal_pos_reward,goal_pos_reward,0.00042538045
door_angular_movement_reward,door_angular_movement_reward,0.00042523295
orientation_reward,orientation_reward,0.000425052
success_reward,swing_reward,0.00042486304
fingertip_another_object_reward,vertical_reward,0.0004248486
angvel_reward,angvel_reward,0.00042476013
simultaneity_reward,simultaneity_reward,0.0004246153
cap_goal_reward,direction_reward,0.00042459674
movement_reward,angvel_reward,0.00042450256
stability_penalty,transfer_reward,0.00042447017
task_completion_bonus,finger_grasp_reward,0.00042425195
placement_reward,placement_reward,0.00042419916
kettle_holding_reward,kettle_holding_reward,0.00042411537
right_distance_reward,vertical_reward,0.00042405364
goal_rot_reward,goal_rot_reward,0.00042338288
bucket_holding_reward,direction_reward,0.0004232827
swing_velocity_reward,vel_reward,0.00042313206
left_hand_reward,grasp_quality,0.0004229998
task_success,direction_reward,0.00042262187
cap_orientation_reward,swing_velocity_reward,0.00042207647
penalty_object,penalty_object,0.00042200595
distance_object_another_reward,left_hand_reach_reward,0.00042191034
water_pouring_reward,grasp_quality,0.00042168185
kettle_holding_reward,spilling_penalty,0.00042149995
progress_reward,vertical_reward,0.00042082192
fingertip_another_object_reward,door_angular_movement_reward,0.00042078088
pour_alignment_reward,bottle_vel_reward,0.00042034677
finger_distance_reward,cap_up_reward,0.0004201261
vertical_alignment,left_hand_reach_reward,0.00041984415
ang_vel_reward,swing_velocity_reward,0.00041964123
door_displacement_reward,vertical_reward,0.00041933628
water_transfer_reward,direction_reward,0.00041915508
hand_close_reward,direction_reward,0.00041874658
smooth_reward,finger_grasp_reward,0.0004186055
movement_reward,vertical_reward,0.00041844934
hand_to_handle_reward,scissors_open_reward,0.0004176211
vel_penalty,door_angular_movement_reward,0.00041750327
spout_bucket_reward,cap_up_reward,0.00041743912
orientation_reward,height_reward,0.0004173788
kettle_handle_reward,penalty_object_another,0.00041701744
stability_reward,simultaneity_reward,0.00041657264
handover_reward,task_completion_bonus,0.00041599575
object_velocity_reward,simultaneity_reward,0.00041573236
left_press_reward,left_fingers_pos_reward,0.0004151382
open_reward,goal_pos_reward,0.00041447574
kettle_holding_reward,push_reward,0.0004139395
pour_alignment_reward,cap_progress_reward,0.000413827
left_hand_reward,direction_reward,0.00041372544
kettle_spout_goal_reward,grip_reward,0.00041353152
velocity_penalty,vertical_reward,0.000413467
open_reward,door_angular_movement_reward,0.00041265477
cap_grasp_reward,finger_grasp_reward,0.00041255186
right_hand_reach_reward,left_fingers_pos_reward,0.0004124661
