score,r_angular_velocity_reward,w_angular_velocity_reward,active_angular_velocity_reward,r_angvel_reward,w_angvel_reward,active_angvel_reward,r_distance_reward,w_distance_reward,active_distance_reward,r_drop_penalty,w_drop_penalty,active_drop_penalty,r_finger_reward,w_finger_reward,active_finger_reward,r_fingertip_reward,w_fingertip_reward,active_fingertip_reward,r_goal_penalty,w_goal_penalty,active_goal_penalty,r_goal_reward,w_goal_reward,active_goal_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_grip_reward,w_grip_reward,active_grip_reward,r_hand_cup_dist_reward,w_hand_cup_dist_reward,active_hand_cup_dist_reward,r_hand_handle_reward,w_hand_handle_reward,active_hand_handle_reward,r_handle_reward,w_handle_reward,active_handle_reward,r_linvel_reward,w_linvel_reward,active_linvel_reward,r_pos_reward,w_pos_reward,active_pos_reward,r_rot_reward,w_rot_reward,active_rot_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_swing_reward,w_swing_reward,active_swing_reward,r_swing_velocity_reward,w_swing_velocity_reward,active_swing_velocity_reward,r_task_success,w_task_success,active_task_success,r_vel_reward,w_vel_reward,active_vel_reward,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.0044,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0005,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.1545,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0005,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0223,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.001,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0019,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0005,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.1274,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0005,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
1.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0083,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0337,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.1324,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0005,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0.5,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.143,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0507,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.3284,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
0.0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,shadow_hand_swing_cup,42
