[hold_object_reward, 1, grasp_reward, 0.3, alignment_reward, 1, progress_reward, 0.2, goal_reward, 0.1, 0.1064]1_8
[hold_object_reward, 1, grasp_reward, 0.3, alignment_reward, 1, progress_reward, 0.2, goal_reward, 1, 0.2812]
[hold_object_reward, 1, grasp_reward, 0.3, alignment_reward, 1, progress_reward, 5, goal_reward, 0.1, 0.2759]
[hold_object_reward, 1, grasp_reward, 0.3, alignment_reward, 1, progress_reward, 5, goal_reward, 1, 0.1787]
[hold_object_reward, 5, grasp_reward, 5, alignment_reward, 0.2, progress_reward, 0.2, goal_reward, 0.1, 0.4336]1_8
[hold_object_reward, 5, grasp_reward, 5, alignment_reward, 0.2, progress_reward, 0.2, goal_reward, 5, 0.3013]
[hold_object_reward, 5, grasp_reward, 5, alignment_reward, 0.2, progress_reward, 1, goal_reward, 0.1, 0.3145]
[hold_object_reward, 5, grasp_reward, 5, alignment_reward, 0.2, progress_reward, 1, goal_reward, 5, 0.3496]
[hold_object_reward, 5, grasp_reward, 1, alignment_reward, 5, progress_reward, 0.2, goal_reward, 0.1, 0.2207]1_8
[hold_object_reward, 5, grasp_reward, 1, alignment_reward, 5, progress_reward, 0.2, goal_reward, 5, 0.1353]
[hold_object_reward, 5, grasp_reward, 1, alignment_reward, 5, progress_reward, 1, goal_reward, 0.1, 0.2603]
[hold_object_reward, 5, grasp_reward, 1, alignment_reward, 5, progress_reward, 1, goal_reward, 5, 0.2183]

[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 0.1, 0.2349]0_10
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 1, 0.0947]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 1, stability_reward, 0.1, 0.2437]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 1, stability_reward, 1, 0.1802]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, stability_reward, 0.1, 0.1616]0_10
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, stability_reward, 1, 0.0898]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, stability_reward, 0.1, 0.083]
[hold_object_reward, 0.3, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, stability_reward, 1, 0.2153]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 0.1, 0.2949]0_10
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 1, 0.4189]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.2, goal_reward, 2, stability_reward, 0.1, 0.2485]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 0.2, goal_reward, 2, stability_reward, 1, 0.1729]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, stability_reward, 0.1, 0.4595]0_10
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, stability_reward, 1, 0.2207]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, goal_reward, 2, stability_reward, 0.1, 0.2808]
[hold_object_reward, 0.3, grasp_reward, 1, rotation_reward, 1, goal_reward, 2, stability_reward, 1, 0.3931]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 0.1, 0.1396]0_10
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 5, 0.2363]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 1, stability_reward, 0.1, 0.2251]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.2, goal_reward, 1, stability_reward, 5, 0.3662]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 2, goal_reward, 0.3, stability_reward, 0.1, 0.103]0_10
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 2, goal_reward, 0.3, stability_reward, 5, 0.249]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 2, goal_reward, 1, stability_reward, 0.1, 0.124]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 2, goal_reward, 1, stability_reward, 5, 0.1973]
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 0.1, 0.207]0_10
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 0.2, goal_reward, 0.3, stability_reward, 1, 0.5474]
[hold_object_reward, 1, grasp_reward, 2, rotation_reward, 0.2, goal_reward, 2, stability_reward, 0.1, 0.1797]
