[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 5, stability_reward, 10, 0.0977]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 2, stability_reward, 5, 0.0203]0_13
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 2, stability_reward, 1, 0.043]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 2, stability_reward, 10, 0.1291]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 1, stability_reward, 5, 0.2654]0_13
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 1, stability_reward, 1, 0.0484]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 1, stability_reward, 10, 0.1988]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 5, stability_reward, 5, 0.1169]0_13
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 5, stability_reward, 1, 0.1644]
[handle_grasp_reward, 10, object_position_reward, 20, rotation_reward, 5, velocity_reward, 0.5, finger_reward, 5, stability_reward, 10, 0.1723]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 2, stability_reward, 5, 0.2512]0_13
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 2, stability_reward, 1, 0.0523]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 2, stability_reward, 10, 0.045]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 1, stability_reward, 5, 0.1153]0_13
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 1, stability_reward, 1, 0.1536]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 1, stability_reward, 10, 0.0121]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 5, stability_reward, 5, 0.167]0_13
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 5, stability_reward, 1, 0.1634]
[handle_grasp_reward, 5, object_position_reward, 10, rotation_reward, 20, velocity_reward, 1, finger_reward, 5, stability_reward, 10, 0.041]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 2, stability_reward, 5, 0.3337]0_13
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 2, stability_reward, 1, 0.0816]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 2, stability_reward, 10, 0.1962]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 1, stability_reward, 5, 0.1488]0_13
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 1, stability_reward, 1, 0.0927]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 1, stability_reward, 10, 0.1917]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 5, stability_reward, 5, 0.322]0_13
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 5, stability_reward, 1, 0.3338]
[handle_grasp_reward, 20, object_position_reward, 40, rotation_reward, 10, velocity_reward, 0.1, finger_reward, 5, stability_reward, 10, 0.1202]

[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 1, 0.2001]1_2
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 0.5, 0.2182]
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 3, success_bonus, 5, 0.4049]
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 1, 0.0369]1_2
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 0.5, 0.039]
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 5, 0.3674]
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 1, 0.1962]1_2
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 0.5, 0.4479]
[approach_reward, 5, contact_reward, 5, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 5, 0.1387]
[approach_reward, 5, contact_reward, 5, alignment_reward, 1, angular_velocity_reward, 0.1, grasp_reward, 3, success_bonus, 1, 0.2219]1_2
