[goal_reward, 1, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 5, 0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 10, 0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 1, goal_reward, 5,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 10, goal_reward, 5,  0]
[goal_reward, 1, velocity_penalty, 0.01, position_reward, 10, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 0.1, goal_reward, 0.1,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 0.1, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 1, goal_reward, 0.1,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 10, goal_reward, 0.1, 0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 1, position_reward, 10, goal_reward, 10, 0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 0.1, goal_reward, 0.1, 0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 0.1, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 1, goal_reward, 0.1,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 10, goal_reward, 0.1,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 1, velocity_penalty, 10, position_reward, 10, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 0.01, goal_reward, 0.1, position_reward, 0.1, 0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 5, 0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 0.1, goal_reward, 10, 0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 1, goal_reward, 5,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 10, goal_reward, 5,  0]
[goal_reward, 10, velocity_penalty, 0.01, position_reward, 10, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 0.1, goal_reward, 0.1,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 0.1, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 1, goal_reward, 0.1,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 10, goal_reward, 0.1, 0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 1, position_reward, 10, goal_reward, 10, 0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 0.1, goal_reward, 0.1, 0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 0.1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 0.1, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 1, goal_reward, 0.1,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 1, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 1, goal_reward, 10,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 10, goal_reward, 0.1,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 10, goal_reward, 1,  0]
[goal_reward, 10, velocity_penalty, 10, position_reward, 10, goal_reward, 10,  0]


[goal_reward, 1, velocity_reward, 0.1, position_reward, 1, grasp_reward, 0.5, 0]0_8
[goal_reward, 1, velocity_reward, 0.1, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 0.1, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 1, velocity_reward, 0.1, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 0.1, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 0.1, position_reward, 10, grasp_reward, 10, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 1, grasp_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 1, position_reward, 10, grasp_reward, 10, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 1, grasp_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, position_reward, 10, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 0.1, position_reward, 1, grasp_reward, 0.5, 0]0_8
[goal_reward, 10, velocity_reward, 0.1, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 0.1, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 0.1, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 0.1, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 0.1, position_reward, 10, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 1, grasp_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 1, position_reward, 10, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 1, grasp_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 1, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 1, grasp_reward, 10, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 10, grasp_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 10, grasp_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, position_reward, 10, grasp_reward, 10, 0]

[goal_reward, 1, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 0.1, 0]0_12
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 1, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 10, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 1, velocity_reward, 10, goal_reward, 10, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 0.1, goal_reward, 10, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 1, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 10, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 0.1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 1, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 1, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 1, rotation_reward, 10, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 10, rotation_reward, 0.1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 10, rotation_reward, 1, 0]
[goal_reward, 10, velocity_reward, 10, goal_reward, 10, rotation_reward, 10, 0]


[goal_reward, 1, position_reward, 2, stability_reward, 0.5, 0]0_13
[goal_reward, 1, position_reward, 2, stability_reward, 1, 0]
[goal_reward, 1, position_reward, 2, stability_reward, 5, 0]
[goal_reward, 1, position_reward, 2, stability_reward, 10, 0]
[goal_reward, 1, position_reward, 10, stability_reward, 1, 0]
[goal_reward, 1, position_reward, 10, stability_reward, 5, 0]
[goal_reward, 1, position_reward, 10, stability_reward, 10, 0]
[goal_reward, 1, position_reward, 20, stability_reward, 1, 0]
[goal_reward, 1, position_reward, 20, stability_reward, 5, 0]
[goal_reward, 1, position_reward, 20, stability_reward, 10, 0]
[goal_reward, 5, position_reward, 2, stability_reward, 0.5, 0]
[goal_reward, 5, position_reward, 2, stability_reward, 1, 0]
[goal_reward, 5, position_reward, 2, stability_reward, 5, 0]
[goal_reward, 5, position_reward, 2, stability_reward, 10, 0]
[goal_reward, 5, position_reward, 10, stability_reward, 1, 0]
[goal_reward, 5, position_reward, 10, stability_reward, 5, 0]
[goal_reward, 5, position_reward, 10, stability_reward, 10, 0]
[goal_reward, 5, position_reward, 20, stability_reward, 1, 0]
[goal_reward, 5, position_reward, 20, stability_reward, 5, 0]
[goal_reward, 5, position_reward, 20, stability_reward, 10, 0]
[goal_reward, 10, position_reward, 2, stability_reward, 0.5, 0]
[goal_reward, 10, position_reward, 2, stability_reward, 1, 0]
[goal_reward, 10, position_reward, 2, stability_reward, 5, 0]
[goal_reward, 10, position_reward, 2, stability_reward, 10, 0]
[goal_reward, 10, position_reward, 10, stability_reward, 1, 0]
[goal_reward, 10, position_reward, 10, stability_reward, 5, 0]
[goal_reward, 10, position_reward, 10, stability_reward, 10, 0]
[goal_reward, 10, position_reward, 20, stability_reward, 1, 0]
[goal_reward, 10, position_reward, 20, stability_reward, 5, 0]
[goal_reward, 10, position_reward, 20, stability_reward, 10, 0]

[goal_reward, 10, position_reward, 5, 0]1_4
[goal_reward, 5, position_reward, 1, 0]
[goal_reward, 5, position_reward, 5, 0]
[goal_reward, 5, position_reward, 10, 0]
[goal_reward, 5, position_reward, 20, 0.5151]
[goal_reward, 10, position_reward, 1, 0]
[goal_reward, 10, position_reward, 10, 0.479]
[goal_reward, 10, position_reward, 20, 0.4736]
[goal_reward, 20, position_reward, 1, 0]
[goal_reward, 20, position_reward, 5, 0]
[goal_reward, 20, position_reward, 10, 0]
[goal_reward, 20, position_reward, 20, 0]
[goal_reward, 5, position_reward, 15, 0]
[goal_reward, 10, position_reward, 5, 0]
[goal_reward, 10, position_reward, 15, 0.5801]
[goal_reward, 10, position_reward, 25, 0.5635]
[goal_reward, 15, position_reward, 5, 0]
[goal_reward, 15, position_reward, 10, 0]
[goal_reward, 15, position_reward, 15, 0.2185]
[goal_reward, 15, position_reward, 20, 0.4146]
